"2024","POINT (-87.6536139825 41.8983058696)",380412,388248
"2024","POINT (-87.6178596758 41.8129489392)",378648,365519
"2022","POINT (-87.714003807 41.8390869059)",377323,366003
"2022","POINT (-87.7633990316 41.9540276487)",376727,340633
"2019","POINT (-87.667569312 41.8502663663)",376548,376971
"2024","POINT (-87.695666342 41.7718485152)",375844,357618
"2024","POINT (-87.6665962653 41.7759288274)",375545,354791
"2019","POINT (-87.6261455896 41.9027880476)",375463,349162
"2020","POINT (-87.6161341112 41.7632467988)",374815,361560
"2019","POINT (-87.6462934762 41.9290776551)",374590,383258
"2019","POINT (-87.6510618838 41.9217781876)",374209,347746
"2019","POINT (-87.6266589003 41.9075200747)",373398,310131
"2021","POINT (-87.642648998 41.8792550844)",373219,440032
"2019","POINT (-87.6838349425 41.9477915865)",373002,349014
"2019","POINT (-87.6591665992 41.8090182499)",371216,365081
"2024","POINT (-87.6838349425 41.9477915865)",369892,353754
"2021","POINT (-87.6262105324 41.8991556134)",369380,389950
"2018","POINT (-87.6318639497 41.8920421365)",369036,355201
"2019","POINT (-87.6558787862 41.96581197)",368402,366372
"2021","POINT (-87.592310855 41.794090253)",368169,374742
"2019","POINT (-87.6178596758 41.8129489392)",368055,354899
"2023","POINT (-87.6012851221 41.7904693995)",367520,309817
"2023","POINT (-87.6838349425 41.9477915865)",367439,354754
"2023","POINT (-87.6429586652 41.8679024175)",366631,389886
"2022","POINT (-87.6838349425 41.9477915865)",365913,351134
"2024","POINT (-87.6525344838 41.8926581076)",362974,327652
"2021","POINT (-87.6357600901 41.9074919303)",362614,336942
"2022","POINT (-87.6161341112 41.7632467988)",360912,347094
"2024","POINT (-87.5949254391 41.7788768603)",360381,355861
"2024","POINT (-87.7215590627 41.968069)",360202,329611
"2024","POINT (-87.6321092196 41.9002656868)",359719,326898
"2024","POINT (-87.6424975271 41.7771962546)",359676,345093
"2018","POINT (-87.6572331997 41.8852813201)",359429,337167
"2023","POINT (-87.6753116216 41.906025969)",358958,331855
"2019","POINT (-87.7696154528 41.7925923603)",358458,411628
"2024","POINT (-87.6291051864 41.9002212967)",357807,314857
"2019","POINT (-87.695666342 41.7718485152)",356311,337024
"2024","POINT (-87.6753116216 41.906025969)",355992,327369
"2023","POINT (-87.6178596758 41.8129489392)",355813,342144
"2022","POINT (-87.6499072264 41.9049353016)",355478,352284
"2021","POINT (-87.6563059862 41.7442051463)",355446,342909
"2023","POINT (-87.695666342 41.7718485152)",354234,334270
"2020","POINT (-87.6950125892 42.001571027)",353464,335507
"2022","POINT (-87.6159695226 41.7402057565)",353206,342879
