"",323963,338596
"POINT (-87.6187195937 41.8130462951)",1062,917
"POINT (-87.7322454045 41.8551039667)",1059,951
"POINT (-87.6384969156 41.7691898164)",1057,1224
"POINT (-87.6842894005 41.8921964292)",1053,946
"POINT (-87.6200146997 41.7619610796)",1044,960
"POINT (-87.5949330919 41.7146749464)",1037,1186
"POINT (-87.7020985409 41.9595267906)",1030,1013
"POINT (-87.5790888158 41.7419428604)",1029,998
"POINT (-87.7055526328 41.87161966)",1016,901
"POINT (-87.6373040854 41.6637597312)",1013,827
"POINT (-87.5713420299 41.7643597021)",1011,798
"POINT (-87.5964755956 41.7281820611)",1003,1057
"POINT (-87.6132781783 41.7830141971)",1003,894
"POINT (-87.6988915914 41.885621155)",1003,1279
"POINT (-87.701802904 42.0008748252)",1002,740
"POINT (-87.6932651023 41.7736412828)",1001,872
"POINT (-87.6915302475 41.9576519161)",999,896
"POINT (-87.7968155178 41.9146023652)",994,902
"POINT (-87.7128745809 41.8626614463)",993,817
"POINT (-87.6701891476 41.9124318691)",991,1174
"POINT (-87.6698353627 41.7405850222)",985,1020
"POINT (-87.632245255 41.8018227527)",979,948
"POINT (-87.6116848803 41.8140038222)",978,1069
"POINT (-87.901885838 42.0055597639)",973,1003
"POINT (-87.6751020589 41.8161780153)",971,909
"POINT (-87.6531587001 41.8365103216)",969,780
"POINT (-87.715732633 41.8566586145)",969,914
"POINT (-87.6547394924 41.8552500875)",960,804
"POINT (-87.6637988716 41.8268319106)",957,918
"POINT (-87.6936374936 42.0013159243)",957,856
"POINT (-87.6525180192 41.7178174158)",954,1036
"POINT (-87.6346478774 41.9346504482)",952,1087
"POINT (-87.7356259487 41.9278531896)",950,784
"POINT (-87.6583976702 41.9854764991)",940,1047
"POINT (-87.6897112748 41.91213208)",940,882
"POINT (-87.6935387966 41.853834685)",934,943
"POINT (-87.6808269032 41.9413656601)",933,877
"POINT (-87.5935612875 41.8132012947)",929,836
"POINT (-87.7513626916 41.927819073)",928,770
"POINT (-87.6809282247 41.9450101512)",924,927
"POINT (-87.6855896618 41.7611057444)",922,786
"POINT (-87.7129731725 41.9592101847)",917,765
"POINT (-87.6592046708 41.8695838595)",912,782
"POINT (-87.7608843709 41.9128367835)",911,760
"POINT (-87.6860998978 41.972035672)",910,829
"POINT (-87.6517530558 41.6813147793)",904,870
"POINT (-87.6859131333 42.0084870082)",902,765
"POINT (-87.7230765587 41.8771009333)",893,790
"POINT (-87.6493598032 41.7687668368)",890,872
"POINT (-87.6495525851 41.776039769)",888,793
"POINT (-87.7306842554 41.9499744545)",888,651
"POINT (-87.7006919027 41.8607622624)",883,910
"POINT (-87.6381750671 41.7142521521)",879,940
"POINT (-87.7712319246 41.9348600057)",876,748
"POINT (-87.7012131039 41.9557717866)",874,786
"POINT (-87.701941074 41.9768117505)",872,993
"POINT (-87.6450896352 41.7836333784)",870,780
"POINT (-87.6520492549 41.6886316646)",865,792
"POINT (-87.6758219283 41.935983574)",862,933
"POINT (-87.5636925942 41.7444906426)",861,741
"POINT (-87.6053162829 41.6673653039)",856,683
"POINT (-87.7509798603 41.9195645564)",853,691
"POINT (-87.6321646406 41.6742786904)",852,876
"POINT (-87.7133688039 41.9865581808)",852,694
"POINT (-87.761463375 41.9349868535)",849,775
"POINT (-87.7689702414 41.985916382)",832,964
"POINT (-87.6214361442 41.8076176173)",824,694
"POINT (-87.7452432048 41.9526648947)",820,637
"POINT (-87.6605035019 41.952719111)",815,812
"POINT (-87.7942692959 41.9956031347)",813,749
"POINT (-87.6949637498 42.0085407611)",812,686
"POINT (-87.6132286335 41.7179672564)",804,1020
"POINT (-87.7152528177 41.9209608656)",797,690
"POINT (-87.5943479846 41.8060217045)",795,767
"POINT (-87.639875541 41.7611662989)",793,747
"POINT (-87.6410707462 41.9128689225)",792,799
"POINT (-87.7521184147 41.9497090767)",780,655
"POINT (-87.7514743323 41.9061861044)",779,714
"POINT (-87.8130981301 42.0056080233)",778,811
"POINT (-87.6532196007 41.7341687376)",777,720
"POINT (-87.624088952 41.8274002516)",776,814
"POINT (-87.6967563395 41.8382957974)",772,1096
"POINT (-87.6343417807 41.7872788781)",770,631
"POINT (-87.7108482084 41.9667749433)",768,693
"POINT (-87.723804133 41.8301172027)",768,1175
"POINT (-87.6139994504 41.808511513)",763,714
"POINT (-87.6198449905 41.7546793318)",759,725
"POINT (-87.7123276017 41.9255672296)",757,807
"POINT (-87.7441731843 41.9076884994)",742,628
"POINT (-87.657966347 41.9827455952)",738,755
"POINT (-87.652031202 41.6958343746)",734,714
"POINT (-87.7606043246 41.8985493636)",732,669
"POINT (-87.6849139261 41.8702687225)",723,607
"POINT (-87.7215645012 41.9261558167)",721,754
"POINT (-87.7224042748 41.855238198)",719,718
"POINT (-87.722610871 41.9500776349)",718,637
"POINT (-87.6377304261 41.6997593569)",715,791
"POINT (-87.7177791062 41.8762234405)",714,693
"POINT (-87.6485823365 41.7396448282)",704,600
"POINT (-87.7617177214 41.9422905548)",704,592
